DataFormatada,Ta (max)(ºC),Ta (med)(ºC),Ta (min)(ºC)
2004/07/10,33.09,25.86,19.34
2004/07/11,32.89,25.02,17.73
2004/07/12,31.48,24.69,18.2
2004/07/13,30.01,23.99,19.27
2004/07/14,28.67,23.15,16.72
2004/07/15,30.81,24.28,18.4
2004/07/16,31.08,24.18,17.26
2004/07/17,32.02,24.84,19.01
2004/07/18,31.88,25,21.09
2004/07/19,30.94,24.13,17.93
2004/07/20,30.94,23.71,17.12
2004/07/21,30.01,24.02,18.53
2004/07/22,28.13,22.75,19.74
2004/07/23,29.2,22.91,17.66
2004/07/24,26.79,21.77,18.27
2004/07/25,28.06,22.6,18.87
2004/07/26,28.47,22.09,16.32
2004/07/27,29.87,23.37,16.72
2004/07/28,26.92,22.57,18.27
2004/07/29,27.39,22.84,17.06
2004/07/30,29.54,23.89,20.48
2004/07/31,28,23.14,18.67
2004/08/01,29.95,23.61,19.81
2004/08/02,30.68,24.02,17.53
2004/08/03,31.75,24.82,18.87
2004/08/04,29.94,23.51,15.78
2004/08/05,30.81,24.18,19.27
2004/08/06,29.8,23.81,20.62
2004/08/07,31.35,24.15,18.4
2004/08/08,31.35,24.87,19.68
2004/08/09,32.42,26.23,21.09
2004/08/10,30.07,24.04,20.08
2004/08/11,28.13,22.76,19.14
2004/08/12,30.94,23.68,15.38
2004/08/13,30,23.56,17.53
2004/08/14,29.8,22.71,15.05
2004/08/15,29.94,23.41,17.19
2004/08/16,32.02,25.04,18.67
2004/08/17,30.21,24.72,19.68
2004/08/18,29.8,23.57,18.53
2004/08/19,32.76,24.63,16.06
2004/08/20,32.89,25.84,20.69
2004/08/21,32.49,24.73,17.59
2004/08/22,32.62,25.88,21.16
2004/08/23,34.03,25.98,17.59
2004/08/24,35.04,26.73,18.6
2004/08/25,32.76,26.82,21.22
2004/08/26,32.96,25.45,19.07
2004/08/27,33.56,26.48,20.62
2004/08/28,34.1,25.88,19.95
2004/08/29,36.18,26.74,18.06
2004/08/30,34.37,28.03,19.48
2004/08/31,32.96,26.83,20.42
2004/09/01,33.03,25.61,19.41
2004/09/02,32.02,25.2,17.86
2004/09/03,32.42,25.2,18.13
2004/09/04,33.77,26.11,19.07
2004/09/05,32.09,25.63,19.48
2004/09/06,32.69,25.45,18.4
2004/09/07,32.22,25.52,19.21
2004/09/08,32.82,25.54,19.61
2004/09/09,31.68,25.23,20.95
2004/09/10,32.15,25.06,18.74
2004/09/11,32.69,25.48,19.81
2004/09/12,32.96,25.9,19.27
2004/09/13,32.49,25.81,19.68
2004/09/14,33.56,25.96,18.47
2004/09/15,33.23,26.15,21.09
2004/09/16,34.03,26.24,18.47
2004/09/17,34.77,27.3,19.81
2004/09/18,33.3,26.6,20.42
2004/09/19,34.17,26.47,17.86
2004/09/20,33.3,26.42,20.55
2004/09/21,33.5,26.58,19.14
2004/09/22,29.68,24.31,20.55
2004/09/23,33.43,26.39,21.83
2004/09/24,33.63,25.98,19.88
2004/09/25,33.16,25.79,20.42
2004/09/26,33.77,26.62,21.9
2004/09/27,34.03,27.12,22.16
2004/09/28,33.77,26.73,20.89
2004/09/29,35.04,27.3,22.43
2004/09/30,35.31,27.76,20.22
2004/10/01,33.83,27.06,21.63
2004/10/02,34.3,27.18,22.3
2004/10/03,33.5,26.97,20.55
2004/10/04,36.86,28.48,20.69
2004/10/05,35.71,28.49,21.83
2004/10/06,35.51,28.21,21.9
2004/10/07,35.58,29.05,23.9
2004/10/08,33.43,27.86,23.16
2004/10/09,33.5,27.86,24.24
2004/10/10,35.58,28.59,22.16
2004/10/11,36.05,28.81,21.42
2004/10/12,35.78,28.25,21.76
2004/10/13,34.77,27.28,19.68
2004/10/14,35.51,27.82,22.63
2004/10/15,34.91,27.61,22.3
2004/10/16,37.19,28.17,21.96
2004/10/17,35.38,27.72,21.02
2004/10/18,35.92,28.21,21.49
2004/10/19,35.71,28.52,22.83
