produto;regiao;ano;semana;preco
Tommy - produtor;Vale do Sao Francisco;2016;4;1.42
Tommy - produtor;Vale do Sao Francisco;2016;5;1.47
Tommy - produtor;Vale do Sao Francisco;2016;6;1.66
Tommy - produtor;Vale do Sao Francisco;2016;7;1.78
Tommy - produtor;Vale do Sao Francisco;2016;8;2
Tommy - produtor;Vale do Sao Francisco;2016;9;2.02
Tommy - produtor;Vale do Sao Francisco;2016;10;2.04
Tommy - produtor;Vale do Sao Francisco;2016;11;1.9
Tommy - produtor;Vale do Sao Francisco;2016;12;1.98
Tommy - produtor;Vale do Sao Francisco;2016;13;2
Tommy - produtor;Vale do Sao Francisco;2016;14;2.06
Tommy - produtor;Vale do Sao Francisco;2016;15;2.27
Tommy - produtor;Vale do Sao Francisco;2016;16;2.58
Tommy - produtor;Vale do Sao Francisco;2016;17;2.93
Tommy - produtor;Vale do Sao Francisco;2016;18;3.51
Tommy - produtor;Vale do Sao Francisco;2016;19;4.16
Tommy - produtor;Vale do Sao Francisco;2016;20;4.28
Tommy - produtor;Vale do Sao Francisco;2016;21;4.12
Tommy - produtor;Vale do Sao Francisco;2016;22;3.65
Tommy - produtor;Vale do Sao Francisco;2016;23;2.25
Tommy - produtor;Vale do Sao Francisco;2016;24;1.6
Tommy - produtor;Vale do Sao Francisco;2016;25;1.35
Tommy - produtor;Vale do Sao Francisco;2016;26;0.83
Tommy - produtor;Vale do Sao Francisco;2016;27;0.91
Tommy - produtor;Vale do Sao Francisco;2016;28;0.97
Tommy - produtor;Vale do Sao Francisco;2016;29;0.93
Tommy - produtor;Vale do Sao Francisco;2016;30;1.02
Tommy - produtor;Vale do Sao Francisco;2016;31;1.02
Tommy - produtor;Vale do Sao Francisco;2016;32;1.17
Tommy - produtor;Vale do Sao Francisco;2016;33;1.54
Tommy - produtor;Vale do Sao Francisco;2016;34;1.29
Tommy - produtor;Vale do Sao Francisco;2016;35;0.98
Tommy - produtor;Vale do Sao Francisco;2016;36;0.82
Tommy - produtor;Vale do Sao Francisco;2016;37;0.71
Tommy - produtor;Vale do Sao Francisco;2016;38;0.68
Tommy - produtor;Vale do Sao Francisco;2016;39;0.61
Tommy - produtor;Vale do Sao Francisco;2016;40;0.58
Tommy - produtor;Vale do Sao Francisco;2016;41;0.6
Tommy - produtor;Vale do Sao Francisco;2016;42;0.72
Tommy - produtor;Vale do Sao Francisco;2016;43;0.64
Tommy - produtor;Vale do Sao Francisco;2016;44;0.55
Tommy - produtor;Vale do Sao Francisco;2016;45;0.53
Tommy - produtor;Vale do Sao Francisco;2016;46;0.45
Tommy - produtor;Vale do Sao Francisco;2016;47;0.39
Tommy - produtor;Vale do Sao Francisco;2016;48;0.32
Tommy - produtor;Vale do Sao Francisco;2016;49;0.32
Tommy - produtor;Vale do Sao Francisco;2016;50;0.48
Tommy - produtor;Vale do Sao Francisco;2016;51;0.66
Tommy - produtor;Vale do Sao Francisco;2016;52;0.79
Tommy - produtor;Vale do Sao Francisco;2017;1;0.85
Tommy - produtor;Vale do Sao Francisco;2017;2;0.91
Tommy - produtor;Vale do Sao Francisco;2017;3;1.24
Tommy - produtor;Vale do Sao Francisco;2017;4;1.44
Tommy - produtor;Vale do Sao Francisco;2017;5;1.47
Tommy - produtor;Vale do Sao Francisco;2017;6;1.63
Tommy - produtor;Vale do Sao Francisco;2017;7;1.93
Tommy - produtor;Vale do Sao Francisco;2017;8;1.97
Tommy - produtor;Vale do Sao Francisco;2017;9;1.3
Tommy - produtor;Vale do Sao Francisco;2017;10;1.39
Tommy - produtor;Vale do Sao Francisco;2017;11;1.51
Tommy - produtor;Vale do Sao Francisco;2017;12;1.4
Tommy - produtor;Vale do Sao Francisco;2017;13;1.62
Tommy - produtor;Vale do Sao Francisco;2017;14;1.96
Tommy - produtor;Vale do Sao Francisco;2017;15;2.25
Tommy - produtor;Vale do Sao Francisco;2017;16;2.24
Tommy - produtor;Vale do Sao Francisco;2017;17;2.26
Tommy - produtor;Vale do Sao Francisco;2017;18;1.88
Tommy - produtor;Vale do Sao Francisco;2017;19;1.94
Tommy - produtor;Vale do Sao Francisco;2017;20;1.94
Tommy - produtor;Vale do Sao Francisco;2017;21;1.94
Tommy - produtor;Vale do Sao Francisco;2017;22;2
Tommy - produtor;Vale do Sao Francisco;2017;23;1.87
Tommy - produtor;Vale do Sao Francisco;2017;24;2.37
Tommy - produtor;Vale do Sao Francisco;2017;25;2.38
Tommy - produtor;Vale do Sao Francisco;2017;26;2.5
Tommy - produtor;Vale do Sao Francisco;2017;27;2.5
Tommy - produtor;Vale do Sao Francisco;2017;28;2.31
Tommy - produtor;Vale do Sao Francisco;2017;29;2.1
Tommy - produtor;Vale do Sao Francisco;2017;30;1.47
Tommy - produtor;Vale do Sao Francisco;2017;31;1.1
Tommy - produtor;Vale do Sao Francisco;2017;32;1.02
Tommy - produtor;Vale do Sao Francisco;2017;33;1.17
Tommy - produtor;Vale do Sao Francisco;2017;34;1.06
Tommy - produtor;Vale do Sao Francisco;2017;35;0.9
Tommy - produtor;Vale do Sao Francisco;2017;36;0.86
Tommy - produtor;Vale do Sao Francisco;2017;37;0.84
Tommy - produtor;Vale do Sao Francisco;2017;38;0.71
Tommy - produtor;Vale do Sao Francisco;2017;39;0.57
Tommy - produtor;Vale do Sao Francisco;2017;40;0.46
Tommy - produtor;Vale do Sao Francisco;2017;41;0.59
Tommy - produtor;Vale do Sao Francisco;2017;42;0.87
Tommy - produtor;Vale do Sao Francisco;2017;43;1.07
Tommy - produtor;Vale do Sao Francisco;2017;44;1.57
Tommy - produtor;Vale do Sao Francisco;2017;45;1.39
Tommy - produtor;Vale do Sao Francisco;2017;46;0.85
Tommy - produtor;Vale do Sao Francisco;2017;47;0.74
Tommy - produtor;Vale do Sao Francisco;2017;48;0.54
Tommy - produtor;Vale do Sao Francisco;2017;49;0.33
Tommy - produtor;Vale do Sao Francisco;2017;50;0.44
Tommy - produtor;Vale do Sao Francisco;2017;51;0.91
Tommy - produtor;Vale do Sao Francisco;2017;52;1.03
Tommy - produtor;Vale do Sao Francisco;2018;1;1.22
Tommy - produtor;Vale do Sao Francisco;2018;2;1.31
Tommy - produtor;Vale do Sao Francisco;2018;3;1.02
Tommy - produtor;Vale do Sao Francisco;2018;4;0.89
Tommy - produtor;Vale do Sao Francisco;2018;5;1
Tommy - produtor;Vale do Sao Francisco;2018;6;0.91
Tommy - produtor;Vale do Sao Francisco;2018;7;1.07
Tommy - produtor;Vale do Sao Francisco;2018;8;1.3
Tommy - produtor;Vale do Sao Francisco;2018;9;1.59
Tommy - produtor;Vale do Sao Francisco;2018;10;1.64
Tommy - produtor;Vale do Sao Francisco;2018;11;1.18
Tommy - produtor;Vale do Sao Francisco;2018;12;1.185
Tommy - produtor;Vale do Sao Francisco;2018;13;1.19
Tommy - produtor;Vale do Sao Francisco;2018;14;1.53
Tommy - produtor;Vale do Sao Francisco;2018;15;1.56
Tommy - produtor;Vale do Sao Francisco;2018;16;1.5
Tommy - produtor;Vale do Sao Francisco;2018;17;1.19
Tommy - produtor;Vale do Sao Francisco;2018;18;1.21
Tommy - produtor;Vale do Sao Francisco;2018;19;1.32
Tommy - produtor;Vale do Sao Francisco;2018;20;1.56
Tommy - produtor;Vale do Sao Francisco;2018;21;1.35
Tommy - produtor;Vale do Sao Francisco;2018;22;1.245
Tommy - produtor;Vale do Sao Francisco;2018;23;1.14
Tommy - produtor;Vale do Sao Francisco;2018;24;1.05
Tommy - produtor;Vale do Sao Francisco;2018;25;0.81
Tommy - produtor;Vale do Sao Francisco;2018;26;0.92
Tommy - produtor;Vale do Sao Francisco;2018;27;1.23
Tommy - produtor;Vale do Sao Francisco;2018;28;1.4
Tommy - produtor;Vale do Sao Francisco;2018;29;1.35
Tommy - produtor;Vale do Sao Francisco;2018;30;1.17
Tommy - produtor;Vale do Sao Francisco;2018;31;1.64
Tommy - produtor;Vale do Sao Francisco;2018;32;1.93
Tommy - produtor;Vale do Sao Francisco;2018;33;1.98
Tommy - produtor;Vale do Sao Francisco;2018;34;1.96
Tommy - produtor;Vale do Sao Francisco;2018;35;1.43
Tommy - produtor;Vale do Sao Francisco;2018;36;1.04
Tommy - produtor;Vale do Sao Francisco;2018;37;0.79
Tommy - produtor;Vale do Sao Francisco;2018;38;0.59
Tommy - produtor;Vale do Sao Francisco;2018;39;0.54
Tommy - produtor;Vale do Sao Francisco;2018;40;0.61
Tommy - produtor;Vale do Sao Francisco;2018;41;0.85
Tommy - produtor;Vale do Sao Francisco;2018;42;0.92
Tommy - produtor;Vale do Sao Francisco;2018;43;0.83
Tommy - produtor;Vale do Sao Francisco;2018;44;0.8
Tommy - produtor;Vale do Sao Francisco;2018;45;0.81
Tommy - produtor;Vale do Sao Francisco;2018;46;0.83
Tommy - produtor;Vale do Sao Francisco;2018;47;0.57
Tommy - produtor;Vale do Sao Francisco;2018;48;0.46
Tommy - produtor;Vale do Sao Francisco;2018;49;0.51
Tommy - produtor;Vale do Sao Francisco;2018;50;0.52
Tommy - produtor;Vale do Sao Francisco;2018;51;0.92
Tommy - produtor;Vale do Sao Francisco;2018;52;1.37
Tommy - produtor;Vale do Sao Francisco;2019;1;1.60
Tommy - produtor;Vale do Sao Francisco;2019;2;1.82
Tommy - produtor;Vale do Sao Francisco;2019;3;1.93
Tommy - produtor;Vale do Sao Francisco;2019;4;1.93
Tommy - produtor;Vale do Sao Francisco;2019;5;1.89
Tommy - produtor;Vale do Sao Francisco;2019;6;2.15
Tommy - produtor;Vale do Sao Francisco;2019;7;2.36
Tommy - produtor;Vale do Sao Francisco;2019;8;2.3
Tommy - produtor;Vale do Sao Francisco;2019;9;2.24
Tommy - produtor;Vale do Sao Francisco;2019;10;2.35
Tommy - produtor;Vale do Sao Francisco;2019;11;2.5
Tommy - produtor;Vale do Sao Francisco;2019;12;2.56
Tommy - produtor;Vale do Sao Francisco;2019;13;1.98
Tommy - produtor;Vale do Sao Francisco;2019;14;1.44
